"Date","Advertiser ID","Advertiser","Country","Time Zone","Order ID","External Order ID","Order Name","Order Start Date","Order End Date","Order Currency","Order Budget","Line Item ID","Line Item","External Line Item ID","Line Item Start Date","Line Item End Date","Line Item Budget","Creative ID","Creative","Size","Supply Cost","AAP Platform Fee","Agency Fee","AAP Audience Fee","3p Fee - Integral Ad Science","3p Fee - Integral Ad Science (absorbed)","3p Fee - DoubleVerify","3p Fee - DoubleVerify (absorbed)","3p Fee - Doubleclick Campaign Manager","3p Fee - Doubleclick Campaign Manager (absorbed)","3p Fee - ComScore","3p Fee - ComScore (absorbed)","3p Fee - CPM 1","3p Fee - CPM 1 (absorbed)","3p Fee - CPM 2","3p Fee - CPM 2 (absorbed)","3p Fee - CPM 3","3p Fee - CPM 3 (absorbed)","3p Fee - Automotive","3p Fee - Automotive (absorbed)","Total 3p Fees","Total Cost","Impressions","CPM","Clickthroughs","CTR","CPC","Interactions","Interaction Rate","Video Impression","Video Click","Video Creative View","Video End State Click","Video Start","Video First Quartile","Video Midpoint","Video Third Quartile","Video Complete","Video Pause","Video Resume","Video Replay","Video Skip Back","Video Skip Forward","Video Mute","Video Unmute","Mobile Ad Close","Mobile Call To Action","Mobile Video Start","Mobile Video Stop","DPV","DPVR","DPV - Views","DPV - Clicks","CPDPV","PRPV","PRPVR","PRPV - Views","PRPV - Clicks","CPPRPV","ATL","ATLR","ATL - Views","ATL - Clicks","CPATL","ATC","ATCR","ATC - Views","ATC - Clicks","CPATC","Purchase","Purchase Rate","Purchase - Views","Purchase - Clicks","Cost Per Purchase","Total Pixel Events","Total Pixel Rate","Total Pixel Events - Views","Total Pixel Events - Clicks","Cost Per Pixel Event"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","2882745200102","Crucial_IT_Apple Mac","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","33.30152","1.66508","12.60701","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","47.57361","9,587","4.96230","14","0.14603%","3.39811","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0417%","4","0","11.89340"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","2882745200102","Crucial_IT_Apple Mac","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","3.80714","0.19036","1.44128","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","5.43878","959","5.67130","2","0.20855%","2.71939","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0.4171%","4","0","1.35969"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","2882745200102","Crucial_IT_Apple Mac","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","15.30971","0.76549","5.79582","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","21.87102","4,231","5.16923","7","0.16545%","3.12443","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3715923590602","Crucial_IT_Homepage","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","27.94362","1.39718","10.57866","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","39.91946","9,361","4.26444","8","0.08546%","4.98993","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0855%","8","0","4.98993"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3715923590602","Crucial_IT_Homepage","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","2.51352","0.12568","0.95155","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","3.59075","850","4.22441","1","0.11765%","3.59075","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.1176%","1","0","3.59075"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3715923590602","Crucial_IT_Homepage","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","15.26829","0.76341","5.78014","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","21.81184","4,476","4.87306","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0.4915%","22","0","0.99145"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3817154140102","Crucial_IT_Product level page","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","241.00048","12.05002","91.23589","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","344.28639","71,609","4.80786","90","0.12568%","3.82540","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0.0489%","35","0","9.83675"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3817154140102","Crucial_IT_Product level page","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","19.45667","0.97283","7.36574","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","27.79524","6,274","4.43023","5","0.07969%","5.55905","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0797%","5","0","5.55905"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","3817154140102","Crucial_IT_Product level page","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","128.29838","6.41492","48.57010","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","183.28340","34,147","5.36748","20","0.05857%","9.16417","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0.1230%","42","0","4.36389"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","9401713570002","Crucial_IT_Conversion page","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","6.06238","0.30312","2.29504","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","8.66054","1,200","7.21712","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0.2500%","3","0","2.88685"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","9401713570002","Crucial_IT_Conversion page","","02-May-2017","31-May-2017","1150.00","5532198700002","Amazon_AOD_MX300_IT_retargeting _120x600","120x600","3.98257","0.19913","1.50769","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","5.68939","381","14.93278","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","9401713570002","Crucial_IT_Conversion page","","02-May-2017","31-May-2017","1150.00","6791909900202","Amazon_AOD_MX300_IT_retargeting _728x90","728x90","2.91381","0.14569","1.10309","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","4.16259","763","5.45555","0","0.00000%","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.1311%","1","0","4.16259"
"May 02, 2017 - May 31, 2017","2808256660802","Crucial_IT_Zenith","IT","Europe/London","2939558360502","","O-RV5H_Crucial_IT_2017_Remarketing_May","02-May-2017","31-May-2017","GBP","1150.00","4500524420502","Crucial_IT_Basket page","","02-May-2017","31-May-2017","1150.00","2871125020402","Amazon_AOD_MX300_IT_retargeting _300x250","300x250","32.40457","1.62023","12.26744","0.00000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00000","46.29224","6,606","7.00761","8","0.12110%","5.78653","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0.0000%","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0.4844%","32","0","1.44663"
