Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/07,BBC Store_UK_Zenith,813934,Active,,No,GBP,43275,59,174.403276,122.083783
2016/03,Aviva_UK_Zenith (non-DCM),861631,Active,,No,GBP,12806,438,219.431282,145.403610
2016/05,Qantas_UK_Zenith,213534,Active,,No,GBP,35249,43,176.013562,120.409233
2016/10,Toyota_UK_Zenith,5071,Active,,No,GBP,11489364,13085,130165.389485,91336.044259
2016/07,Hästens_UK_Zenith,1171837,Active,,No,GBP,40890,37,464.743776,325.324612
2016/07,Lexus (Non DFA)_UK_Zenith,461838,Active,,Yes,GBP,1739546,5024,23645.663171,16127.559244
2016/09,Next_UK_Zenith,378754,Active,,Yes,GBP,315132180,244740,544884.634732,355264.539514
2016/01,Cineworld_UK_Starcom,188063,Active,,No,GBP,27759,11,74.326978,50.756171
2016/03,Doddle_UK_Blue449,419752,Active,,Yes,GBP,6229927,4463,12467.681623,8639.091858
2016/04,Next_UK_Zenith,378754,Active,,Yes,GBP,178252890,180925,643538.292888,430609.595000
2016/11,Aviva_UK_Zenith,3601,Active,,Yes,GBP,46845509,32811,168177.136335,102699.268220
2016/02,Coty_UK_Zenith,737469,Active,,No,GBP,343337,6129,8760.150077,6132.179883
2016/01,International Watch Company_UK_Zenith,295448,Active,,Yes,GBP,6,1,0.032658,0.022861
2016/09,Elemis_UK_Zenith,960943,Active,,No,GBP,66724,140,303.839422,211.159832
2016/10,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,2491455,10714,11478.006775,7832.689462
2016/04,Disneyland_UK_Blue449,600113,Active,,No,GBP,1115093,774,5785.579804,3993.092927
2016/04,Unipart_UK_Blue449,388341,Active,,No,GBP,640263,572,3106.609074,2151.398056
2016/05,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,5327220,16397,62939.664251,43578.421377
2016/10,John Frieda_UK_Zenith,272335,Active,,No,GBP,629879,5803,14361.495479,10053.169491
2016/03,Tetley Tea_UK_Starcom,443184,Active,,No,GBP,172737,111,3908.808913,2734.678645
2016/05,DSG_UK_Blue449,341246,Active,,Yes,GBP,544785,4091,6930.625797,4843.362830
2016/01,Jaeger LeCoultre_UK_Zenith,321150,Active,,Yes,GBP,12638,4,65.156981,45.610790
2016/04,Toyota_UK_Zenith,5071,Active,,Yes,GBP,9514695,12016,46870.864882,31452.956118
2016/05,TNTO_UK_Zenith,197434,Active,,Yes,GBP,71679,0,183.505024,122.825199
2016/10,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,2607761,2360,10360.967844,6833.869513
2016/01,Centerparcs_UK_Blue449,414245,Active,,Yes,GBP,16520822,17069,47008.892141,29699.818674
2016/04,Haribo_UK_Blue449,398744,Active,,Yes,GBP,6322209,39798,71872.627381,49026.656073
2016/01,Toyota_UK_Zenith,5071,Active,,Yes,GBP,35716491,29836,126034.951634,81905.384522
2016/03,Entertainment One_UK_Zenith,8451,Active,,No,GBP,1175435,20297,27655.162317,19346.364641
2016/01,National Geographic_UK_Blue449,420233,Active,,No,GBP,184274,562,1877.112913,1304.381316
2016/08,Lexus_UK_Zenith,5072,Active,,Yes,GBP,3658337,4427,22730.157184,15173.289458
2016/10,SCA_UK_Zenith,543450,Active,,Yes,GBP,15237337,11158,25522.583271,17753.970193
2016/01,David Lloyd_UK_Blue449,641261,Active,,Yes,GBP,12107,8,29.625386,20.738716
2016/02,National Geographic_UK_Blue449,420233,Active,,No,GBP,302367,533,1986.619306,1364.688064
2016/08,BBC Store_UK_Zenith,813934,Active,,Yes,GBP,1077894,936,4110.588827,2877.447291
2016/02,Dreams_UK_Starcom,303361,Active,,Yes,GBP,609880,2071,6784.710922,4616.490587
2016/08,SCA_UK_Zenith (non-DCM),707139,Active,,Yes,GBP,1707624,17897,28239.728392,18847.933248
2016/01,IAMS_UK_Starcom,724439,Active,,Yes,GBP,4729884,1733,15190.046548,9339.715065
2016/03,Doddle_UK_Blue449,419752,Active,,No,GBP,447193,210,1540.018233,1077.720970
2016/11,Net-A-Porter_UK_Zenith,633491,Active,,Yes,GBP,863021,305,7488.600584,5094.814626
2016/11,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,3336273,2459,22597.986501,15956.505710
2016/01,Ladbrokes_UK_Blue449,415613,Active,,No,GBP,1433398,9279,12088.682927,8461.155947
2016/01,Ladbrokes_UK_Blue449_ DCM LINKED,745235,Active,,Yes,GBP,2557050,3486,37499.437182,25932.268094
2016/12,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,24827634.42,10126,140845.754697,97946.939637
2016/03,Calor Gas_UK_Blue449,355235,Active,,No,GBP,279448,112,1467.780763,1034.520657
2016/04,Tetley Tea_UK_Starcom,443184,Active,,Yes,GBP,3,0,0.035439,0.024169
2016/05,Omega_UK_Zenith,201041,Active,,Yes,GBP,3308903,2371,19035.784355,12946.447527
2017/01,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,2402709,1048,9961.566175,6737.349348
2016/05,Dixons_UK_Blue449-DCM,662172,Active,,No,GBP,10261246,14678,35836.650412,25085.983708
2016/09,Elemis_UK_Zenith,960943,Active,,Yes,GBP,321454,378,1564.163011,1087.554711
2016/01,Aviva_UK_Zenith (non-DCM),861631,Active,,Yes,GBP,481162,1126,5640.141754,3760.098111
2016/01,Tetley Tea_UK_Starcom,443184,Active,,Yes,GBP,616047,130,10001.922804,6600.683543
2016/03,Lidl_UK_Starcom NEW,707063,Active,,No,GBP,9073,23,65.091779,35.568009
2016/09,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,7926972,13680,61775.044801,42973.783646
2016/02,Flybe_UK_Starcom,2536,Active,,No,GBP,15076,14,74.906211,51.743428
2016/04,BlueCross_UK_Blue449,733732,Active,,No,GBP,48690,29,159.743261,111.821646
2016/01,PizzaHut_UK_Starcom,5622,Active,,No,GBP,73,0,1.287293,0.901116
2016/02,Calor Gas_UK_Blue449,355235,Active,,Yes,GBP,2857994,2023,7372.575968,5702.496964
2016/04,Qantas_UK_Zenith,213534,Active,,No,GBP,100391,94,456.857714,312.647301
2016/06,Christies_UK_Zenith International,914143,Active,,No,GBP,2611123,1583,20181.751742,12926.600430
2016/08,Entertainment One_UK_Zenith,8451,Active,,No,GBP,2139587,30875,50133.152150,35093.690463
2016/08,Molson Coors_UK_Zenith (DCM),676041,Active,,Yes,GBP,469306,295,9770.625783,6839.569368
2016/10,Next_UK_Zenith,378754,Active,,Yes,GBP,395386490,333113,707692.646223,459959.942506
2016/03,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,No,EUR,40969,33,251.317506,149.511857
