Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2017/09,Carpetright_UK_Zenith,1855936,Active,,Yes,GBP,4487171,4524,17060.551375,10271.470885
2017/09,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,4773010,11710,43619.553850,30193.045457
2017/09,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,9724500,39142,109097.563576,80717.243636
2017/09,Molson Coors_UK_Zenith (DCM),676041,Active,,Yes,GBP,1766419,3319,29873.907184,21883.568552
2017/09,Next_UK_Zenith,378754,Active,,No,GBP,8204531,14352,44929.117703,31080.470937
2017/09,Staples_UK_Zenith International_EUR,507840,Active,,No,EUR,236736,808,1291.763517,898.864919
2017/09,Aviva_UK_Zenith,3601,Active,,No,GBP,1952085,1106,8265.111877,5334.485865
2017/09,Costa_UK_Zenith,586631,Active,,No,GBP,3190361,8867,17490.048299,12242.825628
2017/09,Next_UK_Zenith,378754,Active,,Yes,GBP,60489002,103174,306308.322827,211466.090788
2017/09,RBS (DFA)_UK_Zenith,333264,Active,,No,GBP,1346658,611,6831.158529,4724.461032
2017/09,Aviva_UK_Zenith,3601,Active,,Yes,GBP,15653097,6387,52850.828639,31887.546752
2017/09,Christies_UK_Zenith International,914143,Active,,No,GBP,1754301,2401,15573.067943,10857.848141
2017/09,Costa_UK_Zenith,586631,Active,,Yes,GBP,510817,3777,1314.233514,918.412781
2017/09,Entertainment One_UK_Zenith,8451,Active,,No,GBP,925652,3639,17074.299563,11315.201637
2017/09,John Frieda_UK_Zenith,272335,Active,,No,GBP,425831,1199,9198.828197,7356.119328
2017/09,John Frieda_UK_Zenith,272335,Active,,Yes,GBP,2723948,3885,22676.795606,16403.407051
2017/09,Omega_UK_Zenith,201041,Active,,Yes,GBP,829489,1241,3280.771781,2101.527865
2017/09,RBS (DFA)_UK_Zenith,333264,Active,,Yes,GBP,6005127,2778,13301.043544,9032.275245
2017/09,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,3101330,2618,18011.637594,11509.955258
2017/09,Stella McCartney_UK_Zenith,1645637,Active,,No,GBP,160013,422,602.215306,414.127206
2017/09,Christies_UK_Zenith International,914143,Active,,Yes,GBP,13944721,13331,49885.194456,33077.485155
2017/09,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,4104760,2107,24664.205272,16962.009723
2017/09,Delta Airline_UK_Zenith International,117532,Active,,Yes,GBP,10419170,5961,59167.965686,39191.606215
2017/09,ESME_UK_Zenith,1889538,Active,,No,GBP,118147,65,454.244297,313.561421
2017/09,GHD_UK_Zenith,1837151,Active,,No,GBP,813202,1147,4943.093623,3134.447476
2017/09,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,Yes,GBP,881750,256,2521.779150,1744.769642
2017/09,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,No,GBP,5060302,10765,47040.179457,32867.655933
2017/09,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,1097694,964,4959.336109,3452.771678
2017/09,SCA_UK_Zenith,543450,Active,,No,GBP,719104,1761,14118.686531,11295.325133
2017/09,Stella McCartney_UK_Zenith,1645637,Active,,Yes,GBP,493036,611,2396.580225,1667.987265
2017/09,Carpetright_UK_Zenith,1855936,Active,,No,GBP,649685,1287,3389.942575,2108.586800
2017/09,ESME_UK_Zenith,1889538,Active,,Yes,GBP,3899026,2055,8604.463162,5289.417355
2017/09,GHD_UK_Zenith,1837151,Active,,Yes,GBP,3345910,4672,15750.633369,9920.627506
2017/09,Molson Coors_UK_Zenith (DCM),676041,Active,,No,GBP,2229303,34185,34984.058863,26145.567575
2017/09,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,8898337,2438,41370.215647,27999.483185
2017/09,Natwest (DFA)_UK_Zenith,333265,Active,,Yes,GBP,50955175,12817,131285.872330,88952.647861
2017/09,Net-a-Porter_UK_Zenith_2,1667333,Active,,No,GBP,188343,242,1413.250711,911.818274
2017/09,Net-a-Porter_UK_Zenith_2,1667333,Active,,Yes,GBP,1321933,1110,9098.396752,5886.080230
2017/09,New Look_UK_Performics,1772231,Active,,Yes,GBP,178838,702,1237.502396,866.235808
2017/09,Omega_UK_Zenith,201041,Active,,No,GBP,741466,6011,6952.984031,4793.144085
2017/09,SCA_UK_Zenith,543450,Active,,Yes,GBP,2691411,3221,23493.240204,16444.966871
,,,,,,,241011391,321668,,

Report Time:,2017/10/02 08:45 GMT
Date Range:,2017/09/01 to 2017/09/30
Group By:,Month
Group By:,Advertiser
Group By:,Advertiser ID
Group By:,Advertiser Status
Group By:,Advertiser Integration Code
Group By:,Public Inventory
Group By:,Advertiser Currency
Filter by Partner ID:,151
