Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
01/01/2016,Sanofi_UK_Zenith,GBP,,2,0,0.004709872,0.003307018
02/01/2016,Sanofi_UK_Zenith,GBP,,1,0,0.000204947,0
30/01/2016,Omega Pharma_UK_Zenith,GBP,,0,1,0,0
30/01/2016,Sanofi_UK_Zenith,GBP,,0,1,0,0
01/02/2016,Omega Pharma_UK_Zenith,GBP,,0,1,0,0
24/02/2016,Artsana_UK_Zenith,GBP,,0,2,0,0
24/02/2016,Omega Pharma_UK_Zenith,GBP,,0,2,0,0
27/04/2016,Mercedes-Benz_UK_Zenith,GBP,,410509,286,866.7601825,570.7089809
28/04/2016,Mercedes-Benz_UK_Zenith,GBP,,469287,377,1027.370195,670.0877913
29/04/2016,Mercedes-Benz_UK_Zenith,GBP,,322001,290,689.4725434,456.1683684
30/04/2016,Mercedes-Benz_UK_Zenith,GBP,,9873,19,31.53179032,21.81919869
01/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10184,12,30.77781156,21.28345238
02/05/2016,Mercedes-Benz_UK_Zenith,GBP,,48201,39,102.680099,68.35988747
03/05/2016,Mercedes-Benz_UK_Zenith,GBP,,9545,13,30.3612548,21.00923319
04/05/2016,Mercedes-Benz_UK_Zenith,GBP,,48872,40,115.7683302,76.72135172
05/05/2016,Mercedes-Benz_UK_Zenith,GBP,,35357,25,89.75579979,60.28268253
06/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10164,19,31.31044227,21.65451877
08/05/2016,Mercedes-Benz_UK_Zenith,GBP,,0,2,0,0
11/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10913,12,23.97348309,15.83681051
13/05/2016,Mercedes-Benz_UK_Zenith,GBP,,5151,4,11.48782755,7.608260595
14/05/2016,Mercedes-Benz_UK_Zenith,GBP,,2453,2,5.637551034,3.749550794
15/05/2016,Mercedes-Benz_UK_Zenith,GBP,,29279,27,62.09837609,40.71615618
16/05/2016,Mercedes-Benz_UK_Zenith,GBP,,367180,318,785.7600193,511.8289796
17/05/2016,Mercedes-Benz_UK_Zenith,GBP,,816321,699,1904.934718,1253.429171
