Date	Advertiser	Advertiser Currency Code	Inventory Contract	Impressions	Clicks	Advertiser Cost (Adv Currency)	Media Cost (Adv Currency)
01/01/2017	COTY_UK_ZENITH	GBP		0	1	0	0
01/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	0	4	0	0
01/01/2017	Mercedes-Benz_UK_Zenith	GBP		1	1	0.001025709091973	0.000484529561247
02/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	0	1	0	0
03/01/2017	Mercedes-Benz_UK_Zenith	GBP		864639	714	2761.0026043778873	1765.2726534456267
04/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	20515	0	340.00610550620799	238.0045320889882
04/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	15993	221	263.61898822187249	184.53349197393663
04/01/2017	Mercedes-Benz_UK_Zenith	GBP		857137	1152	2799.6119274885224	1795.2448027882464
05/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	17844	92	297.68291201352466	208.37826449964333
05/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	19352	205	316.99025785939569	221.89342125568296
05/01/2017	Mercedes-Benz_UK_Zenith	GBP		829147	998	2810.3802042241421	1808.0262483894322
06/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	17331	235	292.25424689249221	204.57819479184602
06/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	18797	205	313.67360088643144	219.57175885560294
06/01/2017	Mercedes-Benz_UK_Zenith	GBP		800210	827	2788.1501791703684	1797.3686330872368
07/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	16163	278	281.6124977552531	197.12896231336673
07/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_ROS_Floor: £10_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin_NEW	18869	248	326.5344102588849	228.57433518410104
07/01/2017	Mercedes-Benz_UK_Zenith	GBP		783122	805	2812.7232703918704	1816.543406753547
08/01/2017	Mercedes-Benz_UK_Zenith	GBP	PMP_SublimeSkinz_Mercedes Verticals_Floor: £14_ImproveDigital_TheTradeDesk_Mercedes_UK_Skin	16747	250	291.70482329029384	204.1935978530164
