Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
01/01/2016,Sanofi_UK_Zenith,GBP,,2,0,"0,00470987228573","0,00330701846347"
02/01/2016,Sanofi_UK_Zenith,GBP,,1,0,"0,000204947222042",0
30/01/2016,Omega Pharma_UK_Zenith,GBP,,0,1,0,0
30/01/2016,Sanofi_UK_Zenith,GBP,,0,1,0,0
01/02/2016,Omega Pharma_UK_Zenith,GBP,,0,1,0,0
24/02/2016,Artsana_UK_Zenith,GBP,,0,2,0,0
24/02/2016,Omega Pharma_UK_Zenith,GBP,,0,2,0,0
27/04/2016,Mercedes-Benz_UK_Zenith,GBP,,410509,286,"86,676,018,250,928,100","57,070,898,088,600,800"
28/04/2016,Mercedes-Benz_UK_Zenith,GBP,,469287,377,"10,273,701,954,952,700","67,008,779,133,039,000"
29/04/2016,Mercedes-Benz_UK_Zenith,GBP,,322001,290,"68,947,254,338,890,600","45,616,836,838,677,100"
30/04/2016,Mercedes-Benz_UK_Zenith,GBP,,9873,19,"31,531,790,324,285,400","21,819,198,690,066,900"
01/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10184,12,"30,777,811,561,742,700","21,283,452,378,422,000"
02/05/2016,Mercedes-Benz_UK_Zenith,GBP,,48201,39,"10,268,009,899,272,500","68,359,887,466,518,300"
03/05/2016,Mercedes-Benz_UK_Zenith,GBP,,9545,13,"30,361,254,804,680,700","2,100,923,319,380,850"
04/05/2016,Mercedes-Benz_UK_Zenith,GBP,,48872,40,"11,576,833,017,103,600","7,672,135,172,077,210"
05/05/2016,Mercedes-Benz_UK_Zenith,GBP,,35357,25,"89,755,799,786,691,800","60,282,682,528,709,500"
06/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10164,19,"31,310,442,273,722,400","21,654,518,770,969,100"
08/05/2016,Mercedes-Benz_UK_Zenith,GBP,,0,2,0,0
11/05/2016,Mercedes-Benz_UK_Zenith,GBP,,10913,12,"23,973,483,088,534,800","15,836,810,506,457,400"
13/05/2016,Mercedes-Benz_UK_Zenith,GBP,,5151,4,"11,487,827,546,012,900","7,608,260,594,691,610"
14/05/2016,Mercedes-Benz_UK_Zenith,GBP,,2453,2,"5,637,551,033,652,230","3,749,550,793,697,320"
15/05/2016,Mercedes-Benz_UK_Zenith,GBP,,29279,27,"62,098,376,092,642,800","4,071,615,617,775,360"
16/05/2016,Mercedes-Benz_UK_Zenith,GBP,,367180,318,"78,576,001,932,498,600","51,182,897,956,564,400"
17/05/2016,Mercedes-Benz_UK_Zenith,GBP,,816321,699,"19,049,347,184,274,900","12,534,291,713,181,500"
18/05/2016,Mercedes-Benz_UK_Zenith,GBP,,298581,240,"70,387,901,209,701,300","46,819,000,892,373,300"
19/05/2016,Mercedes-Benz_UK_Zenith,GBP,,875753,729,"20,400,850,198,118,300","13,509,607,005,804,400"
20/05/2016,Mercedes-Benz_UK_Zenith,GBP,,824246,644,"19,225,487,719,656,200","12,689,397,633,170,400"
21/05/2016,Mercedes-Benz_UK_Zenith,GBP,,546880,534,"12,304,109,018,340,200","81,436,216,960,208,700"
22/05/2016,Mercedes-Benz_UK_Zenith,GBP,,860834,855,"20,133,980,697,377,700","13,300,225,586,441,900"
23/05/2016,Mercedes-Benz_UK_Zenith,GBP,,911437,775,"21,097,405,590,943,200","13,932,437,152,251,800"
24/05/2016,Mercedes-Benz_UK_Zenith,GBP,,376392,342,"9,007,491,083,537,900","60,165,488,784,442,300"
25/05/2016,Mercedes-Benz_UK_Zenith,GBP,,192675,149,"4,697,339,905,680,220","31,243,538,854,129,600"
26/05/2016,Mercedes-Benz_UK_Zenith,GBP,,386199,312,"88,112,692,909,836,600","58,308,614,056,390,400"
27/05/2016,Mercedes-Benz_UK_Zenith,GBP,,395122,334,"87,197,056,850,607,000","57,508,900,538,612,700"
28/05/2016,Mercedes-Benz_UK_Zenith,GBP,,391479,319,"8,828,099,791,506,920","58,247,466,304,480,000"
29/05/2016,Mercedes-Benz_UK_Zenith,GBP,,368711,310,"87,415,635,571,650,300","58,155,352,317,029,100"
30/05/2016,Mercedes-Benz_UK_Zenith,GBP,,389609,342,"87,126,378,432,023,300","57,645,390,565,294,500"
31/05/2016,Mercedes-Benz_UK_Zenith,GBP,,388334,338,"85,287,316,108,190,700","56,473,401,827,652,300"
01/06/2016,Mercedes-Benz_UK_Zenith,GBP,,309466,268,"67,435,246,964,592,100","4,459,269,126,164,630"
02/06/2016,Mercedes-Benz_UK_Zenith,GBP,,364423,302,"86,478,386,089,732,500","56,630,267,688,422,200"
