"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","194,268,928","4,598,468.54","862,986"
"","","","Average","67,926","1,607.86","302"
"RBS","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","51,742","1,094.31","46"
"RBS","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","754","15.92","1"
"RBS","1208","AOD UK - Perform RON Eplayer VPAID","July 2016","894","20.56","6"
"Mercedes UK","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","114,549","2,087.30","154"
"Mercedes UK","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","10,915","204.86","22"
"Mercedes UK","1208","AOD UK - Perform RON Eplayer VPAID","July 2016","7,972","145.89","49"
"Toyota","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","360,300","9,189.70","497"
"Toyota","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","224,885","5,693.76","655"
"Molson Coors","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","402,513","7,564.84","669"
"Molson Coors","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","326,327","5,988.39","1,100"
"Molson Coors","1208","AOD UK - Perform RON Eplayer VPAID","July 2016","37,327","678.62","268"
"Sanofi Aventis","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","135,503","2,032.54","197"
"Sanofi Aventis","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","46,761","701.41","101"
"Aviva","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","19,337","290.05","0"
"Omega Pharma","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","40,703","691.95","28"
"Omega Pharma","1208","AOD UK - Perform RON Eplayer VPAID","June 2016","10,201","175.50","14"
"Omega Pharma","1208","AOD UK - Perform RON Eplayer VPAID","July 2016","149","2.53","1"
"SCA","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","15,798","284.36","8"
"Vemedia","1208","AOD UK - Perform RON Eplayer VPAID","May 2016","47,675","715.12","33"
"RBS","1767","AOD UK - Mail Online Desktop","May 2016","7,555","159.84","106"
"Mercedes UK","1767","AOD UK - Mail Online Desktop","May 2016","30,923","568.30","573"
"Molson Coors","1767","AOD UK - Mail Online Desktop","May 2016","11,695","222.20","172"
"Sanofi Aventis","1767","AOD UK - Mail Online Desktop","May 2016","10,359","155.38","172"
"Omega Pharma","1767","AOD UK - Mail Online Desktop","May 2016","9,147","149.39","169"
"SCA","1767","AOD UK - Mail Online Desktop","May 2016","4,045","72.81","94"
"Mercedes UK","2030","AOD UK - STV RON","May 2016","5,677","103.03","61"
"Mercedes UK","2030","AOD UK - STV RON","June 2016","51","0.94","0"
"Mercedes UK","2030","AOD UK - STV RON","July 2016","2,886","53.72","34"
"Mercedes UK","2030","AOD UK - STV RON","August 2016","3,509","65.80","18"
"Mercedes UK","2030","AOD UK - STV RON","September 2016","2,428","48.11","28"
"Mercedes UK","2030","AOD UK - STV RON","October 2016","1,601","30.66","19"
"Toyota","2030","AOD UK - STV RON","May 2016","1,049","26.70","6"
"Toyota","2030","AOD UK - STV RON","June 2016","109","2.77","0"
"Molson Coors","2030","AOD UK - STV RON","May 2016","8,490","160.04","123"
"Molson Coors","2030","AOD UK - STV RON","June 2016","1,682","30.94","12"
"Molson Coors","2030","AOD UK - STV RON","July 2016","1,055","19.92","4"
"Molson Coors","2030","AOD UK - STV RON","August 2016","924","17.56","7"
"Molson Coors","2030","AOD UK - STV RON","September 2016","7,980","164.26","63"
"Molson Coors","2030","AOD UK - STV RON","October 2016","1,524","31.88","11"
"Sanofi Aventis","2030","AOD UK - STV RON","May 2016","7,228","108.42","73"
"Sanofi Aventis","2030","AOD UK - STV RON","June 2016","358","5.37","1"
"Lexus","2030","AOD UK - STV RON","September 2016","297","6.83","3"
"E One","2030","AOD UK - STV RON","July 2016","29","0.67","0"
"E One","2030","AOD UK - STV RON","September 2016","4,322","108.30","41"
"E One","2030","AOD UK - STV RON","October 2016","546","13.65","3"
"Aviva","2030","AOD UK - STV RON","June 2016","76","1.14","2"
"Aviva","2030","AOD UK - STV RON","August 2016","2,258","33.87","3"
"Aviva","2030","AOD UK - STV RON","September 2016","513","7.70","3"
"Omega Pharma","2030","AOD UK - STV RON","May 2016","3,738","60.05","45"
"Omega Pharma","2030","AOD UK - STV RON","June 2016","854","13.66","5"
"Omega Pharma","2030","AOD UK - STV RON","July 2016","6,945","111.13","64"
"Omega Pharma","2030","AOD UK - STV RON","August 2016","5,187","84.15","45"
"Omega Pharma","2030","AOD UK - STV RON","September 2016","492","8.01","6"
"Omega Pharma","2030","AOD UK - STV RON","October 2016","76","1.28","0"
"SCA","2030","AOD UK - STV RON","May 2016","3,280","59.04","30"
"Vemedia","2030","AOD UK - STV RON","May 2016","29","0.43","0"
"Birds Eye","2030","AOD UK - STV RON","September 2016","822","13.15","2"
"Birds Eye","2030","AOD UK - STV RON","October 2016","222","3.55","2"
"Omega Pharma","3874","AOD - STV UK - Mobile App","August 2016","6","0.10","0"
"RBS","4146","VMX UK - Africam","May 2016","732","15.49","11"
"RBS","4146","VMX UK - Africam","June 2016","273","5.79","4"
"RBS","4146","VMX UK - Africam","September 2016","2","0.04","0"
"RBS","4146","VMX UK - Africam","October 2016","216","4.54","0"
"RBS","4146","VMX UK - Africam","November 2016","134","2.81","0"
"RBS","4146","VMX UK - Africam","December 2016","126","2.65","0"
"Costa Coffee","4146","VMX UK - Africam","October 2016","77","1.23","0"
"Molson Coors","4146","VMX UK - Africam","May 2016","2,963","55.93","48"
"Molson Coors","4146","VMX UK - Africam","June 2016","9,955","181.21","86"
"Molson Coors","4146","VMX UK - Africam","July 2016","595","11.30","5"
"Molson Coors","4146","VMX UK - Africam","August 2016","854","16.36","7"
"Molson Coors","4146","VMX UK - Africam","September 2016","343","6.52","1"
"Molson Coors","4146","VMX UK - Africam","October 2016","502","9.86","5"
"Molson Coors","4146","VMX UK - Africam","November 2016","106","2.29","1"
"Sanofi Aventis","4146","VMX UK - Africam","May 2016","437","6.55","9"
"Sanofi Aventis","4146","VMX UK - Africam","June 2016","438","6.57","7"
"Aviva","4146","VMX UK - Africam","May 2016","447","6.70","6"
"Aviva","4146","VMX UK - Africam","June 2016","60","0.90","0"
"Aviva","4146","VMX UK - Africam","August 2016","1,026","15.39","4"
"Aviva","4146","VMX UK - Africam","September 2016","90","1.35","0"
"Aviva","4146","VMX UK - Africam","October 2016","119","2.71","0"
"Omega Pharma","4146","VMX UK - Africam","May 2016","5,203","83.82","41"
"Omega Pharma","4146","VMX UK - Africam","June 2016","8,039","129.56","38"
"Omega Pharma","4146","VMX UK - Africam","July 2016","409","6.70","0"
"Omega Pharma","4146","VMX UK - Africam","August 2016","1,445","23.42","1"
"Omega Pharma","4146","VMX UK - Africam","September 2016","331","5.34","0"
"Omega Pharma","4146","VMX UK - Africam","October 2016","344","5.76","0"
"Omega Pharma","4146","VMX UK - Africam","November 2016","540","9.18","1"
"SCA","4146","VMX UK - Africam","May 2016","2,456","44.21","14"
"Birds Eye","4146","VMX UK - Africam","September 2016","514","8.22","0"
"Birds Eye","4146","VMX UK - Africam","October 2016","1,319","21.10","2"
"Birds Eye","4146","VMX UK - Africam","November 2016","4,238","67.81","11"
"Birds Eye","4146","VMX UK - Africam","December 2016","2,494","39.90","1"
"RBS","4377","VMX UK - SpilGames","May 2016","12","0.25","0"
"Toyota","4377","VMX UK - SpilGames","May 2016","93","2.37","2"
"Omega Pharma","4377","VMX UK - SpilGames","May 2016","28","0.47","1"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","1,241","26.40","26"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","June 2016","3,580","75.23","62"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","July 2016","663","15.25","0"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","September 2016","80","1.69","0"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","October 2016","215","4.52","8"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","November 2016","6","0.14","0"
"RBS","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","December 2016","2,501","55.59","16"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","October 2016","6","0.12","0"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","November 2016","56","1.20","1"
"Mercedes UK","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","December 2016","10,622","233.68","117"
"Toyota","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","23,405","596.21","660"
"Toyota","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","June 2016","93,556","2,374.55","1,857"
"Molson Coors","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","October 2016","8","0.18","0"
"Sanofi Aventis","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","8,873","133.09","188"
"Sanofi Aventis","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","June 2016","13,523","202.84","264"
"Lexus","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","August 2016","104","2.39","0"
"Lexus","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","September 2016","18,464","424.67","180"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","3,246","48.69","39"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","June 2016","3,543","53.14","25"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","August 2016","39","0.58","0"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","September 2016","471","7.07","3"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","October 2016","165","3.46","0"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","November 2016","1","0.02","0"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","6,450","104.35","126"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","June 2016","17,247","286.41","221"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","July 2016","1,994","32.35","39"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","September 2016","226","3.73","3"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","October 2016","67","1.07","2"
"Omega Pharma","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","November 2016","48","0.78","0"
"Vemedia","4401","VMX UK - Venatus Tier 1 [Kids Gaming]","May 2016","3,524","52.86","38"
"RBS","4432","VMX UK - SGN","July 2016","77","1.77","0"
"RBS","4432","VMX UK - SGN","October 2016","25","0.53","0"
"Toyota","4432","VMX UK - SGN","June 2016","41","1.04","0"
"Molson Coors","4432","VMX UK - SGN","October 2016","55","1.27","0"
"Lexus","4432","VMX UK - SGN","August 2016","337","7.75","0"
"Lexus","4432","VMX UK - SGN","September 2016","1,104","25.39","1"
"E One","4432","VMX UK - SGN","July 2016","148","3.40","0"
"E One","4432","VMX UK - SGN","September 2016","104","2.70","0"
"E One","4432","VMX UK - SGN","October 2016","1,196","29.90","0"
"E One","4432","VMX UK - SGN","November 2016","950","21.83","1"
"Aviva","4432","VMX UK - SGN","May 2016","85","1.27","0"
"Aviva","4432","VMX UK - SGN","September 2016","1","0.01","0"
"Aviva","4432","VMX UK - SGN","October 2016","660","15.10","0"
"Aviva","4432","VMX UK - SGN","November 2016","282","6.49","2"
"Omega Pharma","4432","VMX UK - SGN","July 2016","2","0.03","0"
"Omega Pharma","4432","VMX UK - SGN","October 2016","7","0.11","0"
"Omega Pharma","4432","VMX UK - SGN","November 2016","1","0.02","0"
"RBS","4461","VMX UK - Digiteka","May 2016","1,105","23.55","2"
"RBS","4461","VMX UK - Digiteka","June 2016","180","3.86","0"
"RBS","4461","VMX UK - Digiteka","July 2016","3,082","70.89","13"
"RBS","4461","VMX UK - Digiteka","September 2016","258","5.91","0"
"RBS","4461","VMX UK - Digiteka","October 2016","1,537","32.49","1"
"RBS","4461","VMX UK - Digiteka","November 2016","2,156","47.66","25"
"RBS","4461","VMX UK - Digiteka","December 2016","3,584","89.60","7"
"Costa Coffee","4461","VMX UK - Digiteka","October 2016","668","10.69","3"
"Toyota","4461","VMX UK - Digiteka","May 2016","4,096","104.40","35"
"Toyota","4461","VMX UK - Digiteka","June 2016","3,657","92.69","30"
