"Advertiser","Placement ID","Placement Name","Date","Impressions","Spend","Clicks"
"","","","Totals","17,734,311","526,390.12","67,052"
"","","","Average","64,724","1,921.13","245"
"RBS","4146","VMX UK - Africam","September 2017","55","1.16","4"
"Merial","4146","VMX UK - Africam","September 2017","195","3.90","3"
"Aviva","4146","VMX UK - Africam","September 2017","291","5.24","10"
"Omega Pharma","4146","VMX UK - Africam","September 2017","753","16.17","31"
"SCA","4146","VMX UK - Africam","September 2017","324","7.85","15"
"Birds Eye","4146","VMX UK - Africam","September 2017","519","9.34","8"
"Aviva","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","September 2017","2","0.04","0"
"SCA","4401","VMX UK - Venatus Tier 1 [Kids Gaming] VPAID 2.0","September 2017","3,977","106.41","8"
"RBS","4461","VMX UK - Digiteka","September 2017","625","13.12","1"
"Merial","4461","VMX UK - Digiteka","September 2017","1,652","33.04","3"
"Aviva","4461","VMX UK - Digiteka","September 2017","12","0.22","0"
"Omega Pharma","4461","VMX UK - Digiteka","September 2017","621","11.18","1"
"SCA","4461","VMX UK - Digiteka","September 2017","49","1.08","0"
"Birds Eye","4461","VMX UK - Digiteka","September 2017","4,150","74.70","7"
"RBS","4822","AOD UK - Adx Non YT","September 2017","933","19.59","16"
"Merial","4822","AOD UK - Adx Non YT","September 2017","21,687","433.74","135"
"Mercedes UK","4822","AOD UK - Adx Non YT","September 2017","32,781","787.77","164"
"Aviva","4822","AOD UK - Adx Non YT","September 2017","81","1.46","2"
"SCA","4822","AOD UK - Adx Non YT","September 2017","5,181","113.98","34"
"Birds Eye","4822","AOD UK - Adx Non YT","September 2017","189,527","3,411.48","393"
"RBS","5112","VMX UK - Venatus KIDS ONLY Mobile Apps","September 2017","13,536","284.26","67"
"SCA","5112","VMX UK - Venatus KIDS ONLY Mobile Apps","September 2017","19,225","489.81","70"
"Merial","5169","AOD UK - Adx BT Preferred Deal","September 2017","746","14.92","32"
"Aviva","5169","AOD UK - Adx BT Preferred Deal","September 2017","114","2.05","0"
"SCA","5169","AOD UK - Adx BT Preferred Deal","September 2017","137","3.01","4"
"Birds Eye","5169","AOD UK - Adx BT Preferred Deal","September 2017","3,186","57.35","131"
"RBS","6162","VMX UK - Trinity Mirror mobile web","September 2017","14,268","299.63","15"
"Mercedes UK","6162","VMX UK - Trinity Mirror mobile web","September 2017","99,086","2,297.86","108"
"Aviva","6162","VMX UK - Trinity Mirror mobile web","September 2017","273,627","4,925.28","264"
"Omega Pharma","6162","VMX UK - Trinity Mirror mobile web","September 2017","34,550","621.90","42"
"SCA","6162","VMX UK - Trinity Mirror mobile web","September 2017","7,465","220.44","6"
"RBS","6205","VMX UK - SpotXchange RTB - Gaming ","September 2017","9","0.19","0"
"Omega Pharma","6205","VMX UK - SpotXchange RTB - Gaming ","September 2017","801","18.01","7"
"SCA","6205","VMX UK - SpotXchange RTB - Gaming ","September 2017","3","0.07","0"
"Merial","6469","VMX UK - Venatus Core Gaming VPAID 2.0","September 2017","264","5.28","1"
"Aviva","6469","VMX UK - Venatus Core Gaming VPAID 2.0","September 2017","8","0.14","0"
"Omega Pharma","6469","VMX UK - Venatus Core Gaming VPAID 2.0","September 2017","255","4.59","0"
"SCA","6469","VMX UK - Venatus Core Gaming VPAID 2.0","September 2017","4,210","113.14","1"
"Birds Eye","6469","VMX UK - Venatus Core Gaming VPAID 2.0","September 2017","17,836","321.05","3"
"RBS","6636","VMM UK - Vintage TV","September 2017","64","1.34","4"
"Aviva","6636","VMM UK - Vintage TV","September 2017","992","17.86","60"
"Omega Pharma","6636","VMM UK - Vintage TV","September 2017","237","4.27","11"
"SCA","6636","VMM UK - Vintage TV","September 2017","342","7.52","30"
"Birds Eye","6636","VMM UK - Vintage TV","September 2017","135","2.43","9"
"RBS","6644","VMX UK - Viewster ROS Mobile Web","September 2017","11,627","278.84","20"
"Merial","6644","VMX UK - Viewster ROS Mobile Web","September 2017","9,016","180.32","14"
"Mercedes UK","6644","VMX UK - Viewster ROS Mobile Web","September 2017","244,366","6,066.03","540"
"Aviva","6644","VMX UK - Viewster ROS Mobile Web","September 2017","3","0.05","0"
"Omega Pharma","6644","VMX UK - Viewster ROS Mobile Web","September 2017","59,139","1,328.53","116"
"SCA","6644","VMX UK - Viewster ROS Mobile Web","September 2017","2","0.06","0"
"Birds Eye","6644","VMX UK - Viewster ROS Mobile Web","September 2017","435","7.83","3"
"RBS","7606","VMX UK - Vungle Mobile App","September 2017","7,384","155.06","105"
"Merial","7606","VMX UK - Vungle Mobile App","September 2017","212,104","4,242.08","1,960"
"Aviva","7606","VMX UK - Vungle Mobile App","September 2017","4","0.07","0"
"Omega Pharma","7606","VMX UK - Vungle Mobile App","September 2017","28,565","514.17","138"
"SCA","7606","VMX UK - Vungle Mobile App","September 2017","127,457","3,284.92","752"
"Birds Eye","7606","VMX UK - Vungle Mobile App","September 2017","292,043","5,256.77","1,803"
"RBS","8083","VMX UK - Viewster ROS Mobile App","September 2017","39,994","955.61","132"
"Merial","8083","VMX UK - Viewster ROS Mobile App","September 2017","23,723","474.46","51"
"Omega Pharma","8083","VMX UK - Viewster ROS Mobile App","September 2017","15,844","352.90","79"
"Birds Eye","8083","VMX UK - Viewster ROS Mobile App","September 2017","1,706","30.71","8"
"Merial","8446","VMX UK - IBTimes 60s","September 2017","73,671","1,473.42","94"
"SCA","8446","VMX UK - IBTimes 60s","September 2017","11,237","247.33","11"
"Birds Eye","8446","VMX UK - IBTimes 60s","September 2017","17,133","308.39","426"
"RBS","8474","VMM UK - Hoopla - National Geographic","September 2017","5","0.12","0"
"Merial","8474","VMM UK - Hoopla - National Geographic","September 2017","4","0.08","0"
"Mercedes UK","8474","VMM UK - Hoopla - National Geographic","September 2017","11","0.27","1"
"RBS","8630","VMM UK - Vungle Premium Mobile App","September 2017","2","0.04","0"
"Merial","8630","VMM UK - Vungle Premium Mobile App","September 2017","36,934","738.68","404"
"Omega Pharma","8630","VMM UK - Vungle Premium Mobile App","September 2017","4","0.07","0"
"SCA","8630","VMM UK - Vungle Premium Mobile App","September 2017","75,118","1,955.98","532"
"Birds Eye","8630","VMM UK - Vungle Premium Mobile App","September 2017","301,491","5,426.84","1,633"
"SCA","8664","VMX UK - Viewster Alcohol Mobile Web","September 2017","34","1.19","0"
"RBS","9008","VMM UK - Hoopla Mobile Web","September 2017","10,262","246.28","2,015"
"Merial","9008","VMM UK - Hoopla Mobile Web","September 2017","2,912","58.24","115"
"Omega Pharma","9008","VMM UK - Hoopla Mobile Web","September 2017","2,267","50.96","601"
"SCA","9008","VMM UK - Hoopla Mobile Web","September 2017","19","0.42","0"
"Birds Eye","9008","VMM UK - Hoopla Mobile Web","September 2017","7","0.13","2"
"RBS","9141","VMM UK - Hoopla RON","September 2017","17,344","410.70","227"
"Omega Pharma","9141","VMM UK - Hoopla RON","September 2017","421","9.46","5"
"Mercedes UK","9271","VMM UK - Discovery Channel QuestTV PC Tag 1","September 2017","2,538","63.39","18"
"Mercedes UK","9273","VMM UK - Discovery Channel RON Mobile Web","September 2017","34","0.84","0"
"Mercedes UK","9274","VMM UK - Discovery Channel - Quest TV Mobile - Tag 1","September 2017","3,748","93.59","256"
"RBS","9275","AOD UK - Adx ESPN PMP","September 2017","6,326","132.85","65"
"Merial","9275","AOD UK - Adx ESPN PMP","September 2017","8,770","175.40","103"
"Aviva","9275","AOD UK - Adx ESPN PMP","September 2017","5,963","107.33","45"
"Omega Pharma","9275","AOD UK - Adx ESPN PMP","September 2017","5,659","101.86","97"
"SCA","9275","AOD UK - Adx ESPN PMP","September 2017","4,111","90.44","101"
"Birds Eye","9275","AOD UK - Adx ESPN PMP","September 2017","40,398","727.16","242"
"Mercedes UK","9981","VMM UK - Box Plus tag 4 EE TV","September 2017","174,552","4,363.80","0"
"SCA","10084","VMX UK - Vungle Kids Safe Only Mobile App","September 2017","26,421","924.74","77"
"Merial","10110","VMM UK - The Telegraph Mobile Web","September 2017","5","0.10","0"
"Mercedes UK","10110","VMM UK - The Telegraph Mobile Web","September 2017","2","0.05","0"
"Aviva","10110","VMM UK - The Telegraph Mobile Web","September 2017","1","0.02","0"
"Omega Pharma","10110","VMM UK - The Telegraph Mobile Web","September 2017","8","0.14","0"
"SCA","10110","VMM UK - The Telegraph Mobile Web","September 2017","3","0.07","0"
"Birds Eye","10110","VMM UK - The Telegraph Mobile Web","September 2017","6","0.11","0"
"RBS","10326","VMM UK - Rubicon RTB INS M/L Player","September 2017","1","0.02","0"
"Omega Pharma","10326","VMM UK - Rubicon RTB INS M/L Player","September 2017","45","1.01","0"
"SCA","10326","VMM UK - Rubicon RTB INS M/L Player","September 2017","2,252","49.54","13"
