Segment_Name,Trd_ID,Map_Name
Acxiom UK » Demographics & Lifestage » Age » 18-24 years,413303512,Age 18 - 24
Acxiom UK » Demographics & Lifestage » Age » 25-29 years,413303575,Age 25 - 29
Acxiom UK » Demographics & Lifestage » Age » 30-34 years,413682608,Age 30 - 34
Acxiom UK » Demographics & Lifestage » Age » 35-39 years,413302702,Age 35 - 39
Acxiom UK » Demographics & Lifestage » Age » 40-44 years,415218099,Age 40 - 44
Acxiom UK » Demographics & Lifestage » Age » 45-49 years,413302699,Age 45 - 49
Acxiom UK » Demographics & Lifestage » Age » 50-54 years,415218093,Age 50 - 54
Acxiom UK » Demographics & Lifestage » Age » 55-59 years,413303584,Age 55 - 59
Acxiom UK » Demographics & Lifestage » Age » 60-64 years,415218102,Age 60 - 64
Acxiom UK » Demographics & Lifestage » Age » 65-69 years,413303578,Age 65 - 69
Acxiom UK » Demographics & Lifestage » Age » 70-74 years,413303581,Age 70 - 74
Acxiom UK » Demographics & Lifestage » Age » 75+ years,415218096,Age 75 plus
Oracle Country-Specific Audiences » United Kingdom » Demographic » Gender » Male,438587246,Male 
Oracle Country-Specific Audiences » United Kingdom » Demographic » Gender » Female,438587243,Female
Acxiom UK » Demographics & Lifestage » Gender » Female,413682596,Female
Acxiom UK » Demographics & Lifestage » Gender » Male,413682590,Male 
Eyeota - United Kingdom » Demographic » Inferred Gender » Female,186895219,Female
Eyeota - United Kingdom » Demographic » Inferred Gender » Male,186895099,Male 
Acxiom UK » Economic Wellbeing/Income » Employment Status » 1: Employed,413303644,Employed
Acxiom UK » Economic Wellbeing/Income » Employment Status » 2: Company Director,413303647,Company Director
Acxiom UK » Economic Wellbeing/Income » Employment Status » 3: Self-Employed/Business Owner,413682614,Self-Employed/Business Owner
Acxiom UK » Economic Wellbeing/Income » Employment Status » 4: Housewife/Homemaker,415218123,Housewife/Homemaker
Acxiom UK » Economic Wellbeing/Income » Employment Status » 5: Retired,413303401,Retired
Acxiom UK » Economic Wellbeing/Income » Employment Status » 6: Student,415218126,Student
Acxiom UK » Economic Wellbeing/Income » Employment Status » 7: Unemployed,413682617,Unemployed
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 7: £75,000+",413682620,"�75,000+"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 5: £40,000-£49,999",413303689,"�40,000-�49,999"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 6: £50,000-£74,999",413303650,"�50,000-�74,999"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 4: £30,000-£39,999",413303686,"�30,000-�39,999"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 3: £20,000-£29,999",415218129,"�20,000-�29,999"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 2: £10,000-£19,999",413303653,"�10,000-�19,999"
"Acxiom UK » Economic Wellbeing/Income » Annual Household Income » 1: Under £10,000",415218138,"Under �10,000"
Acxiom UK » Home & Property » Property Type » 1: Flat/Maisonette,415218153,Flat/Maisonette
Acxiom UK » Home & Property » Property Type » 2: Terraced,413682647,Terraced
Acxiom UK » Home & Property » Property Type » 3: Semi-Detached,413682650,Semi-Detached
Acxiom UK » Home & Property » Property Type » 4: Detached,413682653,Detached
Acxiom UK » Home & Property » Property Type » 5: Bungalow,415218150,Bungalow
Acxiom UK » Geography » Region » East Anglia,413302693,East Anglia
Acxiom UK » Geography » Region » West Midlands,413682587,West Midlands
Acxiom UK » Geography » Region » North West,413682575,North West
Acxiom UK » Geography » Region » South West,413682593,South West
Acxiom UK » Geography » Region » South East,413682584,South East
Acxiom UK » Geography » Region » Yorkshire,413682491,Yorkshire
Acxiom UK » Geography » Region » East Midlands,413682581,East Midlands
Acxiom UK » Geography » Region » Scotland,413682578,Scotland
Acxiom UK » Geography » Region » Wales,413682557,Wales
Acxiom UK » Geography » Region » North,413682500,North
Acxiom UK » Geography » Region » Northern Ireland,413682554,Northern Ireland
