UserID,AgrImpressions
0,4990
AMsySZY-NI2GTkKNVXqDGn7vrB-t,6
AMsySZY-cXfhHbOdB46iLrsAwptX,2
AMsySZY080i1Q7fgVvu9TZVa8TAa,3
AMsySZY0JsdE50VQVgQzDTXLQJPC,10
AMsySZY0S8eCgCI-NgbDhDEUD9gk,1
AMsySZY0_1La5Vo4iHpTnGVYdcxL,16
AMsySZY0mTPH2SqnuUY5A7tbXN88,2
AMsySZY0yvC9YP2JUYUoQEajgIIS,4
AMsySZY1Khq92bN7aZoAYZPrhmWF,9
AMsySZY1M0Gbf_lvJwXezKEBhO6p,10
AMsySZY1aq6TnCxe8wXJcG3d1LfI,15
AMsySZY1bTiUzXY6wHN8RRpaooOx,1
AMsySZY1hYEHreXZhhtkYrowXZux,3
AMsySZY2OmFu01QZl0-JF3TzALrw,11
AMsySZY2WgqD8gSyFPWj4G-d1WAj,5
AMsySZY3uyVvoVZayzke6VYy3xIp,8
AMsySZY44EbpJNyXWrpXsMkEFJO8,17
AMsySZY47TAOu-vhM6BQsnltLcfD,7
AMsySZY4Gd58GccNvKo6a3YfmF2y,8
AMsySZY4LKsTzvwkGISrYdA0PQce,20
AMsySZY4R6sOwNJ9HM2VuEr8QKIo,3
AMsySZY4X9UQDb6DowTLKMAxWBAH,3
AMsySZY4_WO2hDcwhJgXEGQE6GFY,10
AMsySZY5xAtf9mJSMQJBBdvptan6,4
AMsySZY5z5FdCFX4cZyJfwpC14nH,17
AMsySZY6OdyH7I-TiACt9HW4U4Sh,14
AMsySZY6PJZJjSBTGhONgfyaSSWU,18
AMsySZY6PxHHS-ZPsTnrPC0UnxGJ,8
AMsySZY6Q6zH0cJxaV7eZ9bEvW_s,7
AMsySZY6Qxe_lgi1JD2ra6Uf2atr,11
AMsySZY6k_cs1h9e-LvSYBfsPEX5,5
AMsySZY6tqf2nLPJVcmaEw_YDzgG,8
AMsySZY75wnZdLqfKt3h9Eqja2u9,10
AMsySZY7AY7Vr-pMHsZP3A-pIBMK,7
AMsySZY7CTRHSXtw9wWUcUkYsJFM,1
AMsySZY7qsMDxAxRCGRaCTsS6hDt,11
AMsySZY88I280BLkjuTtAbEaQMSb,4
AMsySZY8KYzgGkQZD9Z9PvlPwY9w,19
AMsySZY8Uef73BbxSLdKoeGTjjJX,2
AMsySZY8VZBCmcEz0U7eAmk69LPH,1
AMsySZY8sU8n3kNJcyMndlmDOF67,18
AMsySZY96Y7Oiwfy9R0PpRrsf_PJ,3
AMsySZY9BSRc0dGiwTzJN6yHha-E,9
AMsySZY9ahDakBTZPxJON0rZl73Y,4
AMsySZY9f0aJLQk_ohL0e8-4EClk,3
AMsySZY9iO7A20hkqecnbE0yt3dJ,3
AMsySZY9uPLYbYokTTXzGjkY7bMK,3
AMsySZY9yNNoLcByYAHmqhho0zf9,2
AMsySZYAEeHbEIL1uSCD6Un0JTNv,3
AMsySZYAN9misKRLYuyfo7RtGI5A,9
AMsySZYANogryw1CCJjUmG0r9jLN,1
AMsySZYAOD9xFuTN5PRjum29lbC5,1
AMsySZYB864FGDLrLpvAYL2CpmRJ,1
AMsySZYBGVrHhgk74F2ivP-To0ME,14
AMsySZYBWyFHk9yBxiEZRXY6Cx0b,7
AMsySZYBkCaNMOFUolVJ7Yi4AoD2,8
AMsySZYBlAJvFrlR5L2tSoFYMvVC,7
AMsySZYCBl1PcUpzfPqpy0e8OLW5,15
AMsySZYCVyJt_tv1Ze9CBtO9-R0L,7
AMsySZYCc1nYZX7VPx4wYv9Y0yWe,1
AMsySZYCn6TA3_de7V6_0LVcYmCu,22
AMsySZYDNfB5kI__Ad3o3VEMouE_,1
AMsySZYDZLBjh8FN9NJCIxw4uv05,1
AMsySZYEKfZ3td3R4nt1-9HZBwSS,4
AMsySZYETUmYKmm0sAdkwrrIjyGU,6
