Match type,Search term,Excluded Keyword,Keyword,Impressions
exact (close variant),headlice,,[head lice],365
phrase,head lice treatment,, +head +lice,336
exact (close variant),headlice,, +head +lice,231
exact (close variant),headlice,,[lice head],109
phrase,head lice shampoo,, +head +lice,61
phrase,best head lice treatment,, +head +lice,26
broad,how to get rid of head lice,, +head +lice +rid,26
exact (close variant),how to get rid of headlice,,[head lice how to get rid of],23
exact (close variant),get rid of head lice,,[getting rid of head lice],20
phrase,what do head lice look like,"""look like""", +head +lice,16
phrase,head lice treatment boots,, +head +lice,13
exact (close variant),headlice shampoo,,[shampoo for head lice],9
broad,how to treat head lice,, +lice +treatment,9
phrase,boots head lice,, +head +lice,9
broad,how to prevent head lice,, +head +lice +prevention,9
phrase,vosene lice repellent shampoo,, +lice +repellent,8
exact (close variant),getting rid of head lice,,[head lice how to get rid of],7
phrase,how to get rid of head lice,, +head +lice,7
phrase,best head lice treatment uk,, +head +lice,7
phrase,head lice treatment boots,, +lice +treatment,6
phrase,how to get rid of head lice eggs,, +lice +eggs,6
phrase,boots head lice solution reviews,, +head +lice,5
exact (close variant),treating head lice at home,,[home head lice treatment],5
phrase,how do head lice spread,, +head +lice,5
exact (close variant),louse egg,,[lice eggs],5
phrase,how to check for head lice,, +head +lice,5
broad,lice treatment for kids,, +kids +lice,4
phrase,head lice treatment asda,, +head +lice,4
phrase,nyda lice treatment,, +lice +treatment,4
phrase,boots head lice treatment,, +lice +treatment,4
broad,vosene lice repellent spray,, +lice +spray,4
phrase,how to kill lice eggs,, +lice +eggs,4
phrase (close variant),headlice treatment,, +head +lice,4
exact (close variant),how to treat headlice,,[how to treat for head lice],4
phrase,what is head lice,, +head +lice,4
exact (close variant),treatment head lice,,[treatment for head lice],4
exact (close variant),treatment of headlice,,[treatment for head lice],4
exact (close variant),headlice eggs,,[head lice eggs],4
phrase,how to treat head lice,, +head +lice,4
exact (close variant),headlice treatments,,[treatment for head lice],3
broad,how to get rid of lice,, +rid +lice,3
phrase,head lice treatment uk,, +head +lice,3
exact (close variant),headlice prevention spray,,[head lice spray prevention],3
exact (close variant),head lice treatments,,[treatment for head lice],3
broad,incubation period for head lice,, +head +lice +incubation,3
phrase,puressentiel anti lice,, +anti +lice,3
phrase,anti lice shampoo,, +anti +lice,3
phrase,stubborn head lice,, +head +lice,3
broad,best treatment for head lice,, +best +for +head +lice,3
exact (close variant),head louse,,[head lice],3
broad,best thing for head lice,, +best +for +head +lice,3
exact (close variant),treatments for head lice,,[treatment for head lice],3
phrase,head lice shampoo asda,, +lice +shampoo,3
exact (close variant),nit and lice treatment,,[nits and lice treatment],3
broad,home remedies for head lice,, +lice +head,3
broad,what is the best head lice treatment,, +best +treatment +head +lice,3
broad,best shampoo for head lice,, +best +for +head +lice,3
phrase,nhs head lice,, +head +lice,2
