Row Labels,Targeting,Recency,Sum of Viewability,Sum of Active View: Measurable Impressions,Sum of Active View: Viewable Impressions,Sum of Impressions,Sum of Quotes,Sum of Spend,Viewgroup
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.838497755,9133,7658,9253,1,31.848713,70%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.83355128,10706,8924,10909,1,38.151969,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.831478448,17701,14718,18293,,63.331883,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.823856649,17077,14069,17408,4,66.937527,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.814862316,53020,43204,53829,16,222.033123,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.81006006,2664,2158,2763,,10.244476,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.809927991,36523,29581,37165,10,147.124323,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.806486389,11131,8977,11361,7,41.909854,70%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.805969498,45833,36940,46631,5,189.735843,70%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.804872331,51187,41199,51966,12,211.058801,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.80089039,26056,20868,26326,12,103.496564,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.800428237,45302,36261,46138,18,183.027347,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.79947145,24974,19966,25543,5,101.159943,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.799295211,31215,24950,32451,22,109.464407,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.798683985,64133,51222,65176,15,257.451822,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.794202899,1380,1096,1411,,3.351082,70%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.787341525,51270,40367,52157,32,212.164001,70%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.78666252,70733,55643,71753,38,287.815174,70%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.777200139,37509,29152,38443,8,131.915292,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.776491388,35068,27230,35717,8,136.661142,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.751693002,1329,999,1361,,3.129799,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.746941272,4904,3663,5046,3,19.981233,70%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.743351819,45802,34047,46662,11,151.073914,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.736715867,48780,35937,50029,34,164.849161,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,Car homepage,,0.734298119,17275,12685,17461,3,76.333382,70%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.724279587,16553,11989,16923,8,59.414538,70%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.722231701,17583,12699,17776,10,74.926274,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.719125129,45401,32649,46479,16,157.72173,70%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.718125877,18526,13304,18629,3,78.785815,70%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.717450718,34394,24676,34657,4,147.880058,70%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_AV >60%_P87QGV_VIVAKI AOD_Retargeting_728 x 90,Car homepage,,0.711310629,29627,21074,29778,10,123.589794,70%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.699577614,5682,3975,5849,2,11.539269,60%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.674304016,4059,2737,4140,,7.724159,60%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.665247678,7752,5157,7953,2,15.22683,60%+
