Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Talk Shows,GBP,4289,0,1.00,0.00,1.00,27.004091
/Autos & Vehicles/Vehicle Brands/Land Rover,GBP,229,0,1.00,0.00,1.00,1.564716
/Finance/Credit & Lending/Credit Cards,GBP,998,1,0.00,0.00,0.00,7.519177
/Real Estate/Commercial & Investment Real Estate,GBP,342,0,0.00,0.00,0.00,2.816406
/Science/Biological Sciences,GBP,4857,5,4.00,0.00,4.00,41.511666
/World Localities/Asia/West Asia/Israel/Jerusalem,GBP,8,0,0.00,0.00,0.00,0.059469
/Computers & Electronics/Software/Operating Systems/Mobile OS/Android OS,GBP,564,0,1.00,0.00,1.00,3.521675
/News/Politics/Left-Wing Politics,GBP,1231,0,1.00,0.00,1.00,10.972915
/World Localities/Latin America/South America/Uruguay,GBP,9,0,0.00,0.00,0.00,0.085732
/Beauty & Fitness/Beauty Pageants,GBP,225,0,0.00,0.00,0.00,1.901094
/Games/Tile Games,GBP,11,0,0.00,0.00,0.00,0.078240
/Arts & Entertainment/Movies/Movie Reference,GBP,5123,6,2.00,0.00,2.00,45.574276
/Shopping/Shopping Portals & Search Engines,GBP,1457,1,0.00,0.00,0.00,11.382739
/Sports/Combat Sports/Boxing,GBP,1656,1,4.00,0.00,4.00,11.790479
/World Localities/Europe/Mediterranean Europe/Italy/Calabria,GBP,5,0,0.00,0.00,0.00,0.069493
/Autos & Vehicles/Vehicle Brands/Lincoln,GBP,45,0,0.00,0.00,0.00,0.317803
/Business & Industrial/Business Services/E-Commerce Services/Merchant Services & Payment Systems,GBP,531,1,0.00,0.00,0.00,4.239390
/Computers & Electronics/Enterprise Technology/Customer Relationship Management (CRM),GBP,218,0,0.00,0.00,0.00,1.625775
/Jobs & Education/Jobs/Resumes & Portfolios,GBP,1602,3,1.00,0.00,1.00,13.705333
/Law & Government/Legal/Accident & Personal Injury Law,GBP,624,2,0.00,0.00,0.00,5.324224
/World Localities/Oceania/Pacific Islands/Melanesia/Fiji,GBP,13,1,0.00,0.00,0.00,0.092442
/Health/Health Conditions/Pain Management,GBP,1118,1,1.00,0.00,1.00,8.998073
/Hobbies & Leisure,GBP,36938,29,25.00,0.00,25.00,334.621005
/Pets & Animals/Pets/Reptiles & Amphibians,GBP,261,0,0.00,0.00,0.00,2.118322
/World Localities/North America/USA/California/California Central Coast,GBP,16,0,0.00,0.00,0.00,0.159706
/Computers & Electronics/Computer Hardware/Laptops & Notebooks/Tablet PCs,GBP,733,2,0.00,0.00,0.00,5.285820
/Health/Mental Health/Anxiety & Stress,GBP,2339,3,1.00,0.00,1.00,19.574717
/Arts & Entertainment/Music & Audio/World Music/Latin American Music/Brazilian Music,GBP,118,1,0.00,0.00,0.00,0.844810
/Business & Industrial/Professional & Trade Associations,GBP,121,0,0.00,0.00,0.00,0.948512
/Internet & Telecom/Web Services/Web Stats & Analytics,GBP,92,0,0.00,0.00,0.00,0.764645
/World Localities/Europe,GBP,93117,77,116.00,0.00,116.00,721.921076
/World Localities/North America/USA/Pacific Northwest/Oregon,GBP,65,0,0.00,0.00,0.00,0.619372
/Business & Industrial/Agriculture & Forestry/Food Production,GBP,428,1,4.00,0.00,4.00,3.509385
/Computers & Electronics/Software/Software Utilities,GBP,288,1,0.00,0.00,0.00,2.310667
/Finance/Banking/Debit & Checking Services,GBP,79,0,0.00,0.00,0.00,0.680741
/Shopping/Apparel,GBP,45067,79,141.00,0.00,141.00,443.460030
/World Localities/Asia/East Asia/China/South Central China,GBP,68,0,0.00,0.00,0.00,0.670816
/World Localities/North America/USA/New England/Connecticut/New Haven,GBP,30,0,0.00,0.00,0.00,0.220199
/Arts & Entertainment/Movies/Family Films,GBP,1490,1,0.00,0.00,0.00,14.086408
/Law & Government/Public Safety/Crime & Justice/Gangs & Organized Crime,GBP,148,1,0.00,0.00,0.00,1.117581
/World Localities/Europe/Mediterranean Europe/Spain/Valencian Community/Valencia,GBP,12,0,0.00,0.00,0.00,0.142913
/World Localities/Europe/Western Europe/United Kingdom/Scotland/Glasgow,GBP,49,0,0.00,0.00,0.00,0.348121
/World Localities/Asia/West Asia/Turkey,GBP,78,0,0.00,0.00,0.00,0.737826
/World Localities/Latin America/Caribbean/Jamaica,GBP,17,0,0.00,0.00,0.00,0.173910
/Internet & Telecom/Communications Equipment,GBP,94,0,0.00,0.00,0.00,0.691516
/People & Society/Ethnic & Identity Groups,GBP,8136,7,4.00,0.00,4.00,71.575056
/World Localities/Asia/Russia & CIS/Russian Federation/Russian Central District,GBP,36,0,0.00,0.00,0.00,0.315627
/World Localities/Asia/West Asia/Turkey/Aegean Turkey/Pamukkale,GBP,47,0,0.00,0.00,0.00,0.486987
/World Localities/Latin America/Central America/Mexico,GBP,125,0,0.00,0.00,0.00,1.206967
/World Localities/North America/USA/Mid-Atlantic (USA)/Pennsylvania/Philadelphia,GBP,6,0,0.00,0.00,0.00,0.059166
/Business & Industrial/Business Operations/Management/Project Management,GBP,10,0,0.00,0.00,0.00,0.062366
/Pets & Animals/Animal Products & Services/Pet Food & Supplies,GBP,246,0,0.00,0.00,0.00,1.954729
/Arts & Entertainment/Humor/Spoofs & Satire,GBP,34,0,0.00,0.00,0.00,0.257739
/Arts & Entertainment/Offbeat/Occult & Paranormal,GBP,5732,8,5.00,0.00,5.00,40.755796
/Food & Drink/Cooking & Recipes/Desserts,GBP,17169,17,9.00,0.00,9.00,131.108159
/Health/Nutrition/Special & Restricted Diets/Kosher Foods,GBP,9,0,0.00,0.00,0.00,0.075519
/Shopping/Toys/Dolls & Accessories,GBP,225,0,0.00,0.00,0.00,1.981528
/Autos & Vehicles/Vehicle Brands/Suzuki,GBP,38,0,0.00,0.00,0.00,0.236677
/Shopping/Apparel/Athletic Apparel,GBP,2494,3,11.00,0.00,11.00,22.019115
/World Localities/Asia/Central Asia,GBP,16,0,0.00,0.00,0.00,0.168756
/World Localities/Europe/Western Europe/United Kingdom/England,GBP,75760,62,86.00,0.00,86.00,584.952782
/Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,GBP,1425,0,0.00,0.00,0.00,11.222855
/Books & Literature/Book Retailers,GBP,182,0,0.00,0.00,0.00,1.578320
/People & Society/Ethnic & Identity Groups/Asians & Diaspora/East Asians & Diaspora,GBP,1270,2,1.00,0.00,1.00,10.239773
/Real Estate/Timeshares & Vacation Properties,GBP,50,0,0.00,0.00,0.00,0.374389
/Reference/General Reference/Forms Guides & Templates,GBP,917,2,0.00,0.00,0.00,7.262428
/World Localities/Asia/West Asia/Turkey/Mediterranean Turkey/Antalya,GBP,1,0,0.00,0.00,0.00,0.004643
/Arts & Entertainment/Visual Art & Design/Sculpture,GBP,296,2,0.00,0.00,0.00,2.267292
/People & Society,GBP,170695,182,80.00,0.00,80.00,1521.409859
/People & Society/Social Issues & Advocacy,GBP,24481,26,13.00,0.00,13.00,192.644313
/World Localities/Africa/Southern Africa/Botswana,GBP,270,0,0.00,0.00,0.00,1.735606
/World Localities/North America/USA/Midwest (USA)/Ohio,GBP,12,0,0.00,0.00,0.00,0.122402
/Arts & Entertainment/Movies/Cult & Indie Films,GBP,232,0,1.00,0.00,1.00,1.553544
/Computers & Electronics/Programming/Windows & .NET,GBP,1,0,0.00,0.00,0.00,0.005434
/Jobs & Education/Jobs,GBP,32383,29,13.00,0.00,13.00,250.290862
/Autos & Vehicles/Vehicle Brands/Audi,GBP,297,2,0.00,0.00,0.00,2.612439
/Business & Industrial/Textiles & Nonwovens,GBP,633,2,2.00,0.00,2.00,6.716553
/Computers & Electronics/Software/Internet Software/Internet Clients & Browsers,GBP,260,0,0.00,0.00,0.00,2.477788
/Sports/Fantasy Sports,GBP,51,0,0.00,0.00,0.00,0.300260
/World Localities/Europe/Mediterranean Europe,GBP,3851,4,12.00,0.00,12.00,35.410227
/World Localities/North America,GBP,9924,11,10.00,0.00,10.00,84.354259
/Arts & Entertainment/Entertainment Industry,GBP,23617,27,30.00,0.00,30.00,209.638042
/Arts & Entertainment/Music & Audio/Music Art & Memorabilia,GBP,3,0,0.00,0.00,0.00,0.016690
/Arts & Entertainment/Online Media/Online Image Galleries,GBP,2849,4,2.00,0.00,2.00,25.460237
/Sports/Individual Sports/Running & Walking,GBP,8308,3,5.00,0.00,5.00,56.143432
/World Localities/Asia/East Asia/China/Eastern China,GBP,35,0,0.00,0.00,0.00,0.316325
/World Localities/Europe/Western Europe/France/South West France/Languedoc-Roussillon/Montpellier,GBP,1,0,0.00,0.00,0.00,0.004641
/News/Sports News,GBP,91220,72,53.00,0.00,53.00,624.451566
/People & Society/Ethnic & Identity Groups/Indigenous Peoples/Native Americans,GBP,364,1,0.00,0.00,0.00,3.223137
/Shopping/Antiques & Collectibles,GBP,11991,11,1.00,0.00,1.00,97.961214
/World Localities/Europe/Southeastern Europe/Croatia,GBP,329,0,0.00,0.00,0.00,3.268846
/World Localities/Latin America/Central America,GBP,429,0,0.00,0.00,0.00,3.184894
/Beauty & Fitness/Hair Care/Hair Loss,GBP,1223,1,1.00,0.00,1.00,12.144433
/Law & Government/Public Safety/Security Products & Services,GBP,286,1,0.00,0.00,0.00,2.283168
/Reference/Geographic Reference/Maps,GBP,2374,1,0.00,0.00,0.00,16.768144
/World Localities/Africa/Southern Africa/South Africa/Johannesburg,GBP,10,0,0.00,0.00,0.00,0.124116
/World Localities/Asia/West Asia/United Arab Emirates,GBP,323,1,0.00,0.00,0.00,2.915332
